name,ra,dec,V,CaHK_0,CaHKerr,FeH_pris,FeH_FERRE,FeH_FERRE_err,temp_FERRE,temp_FERRE_err,logg_FERRE,logg_FERRE_err,C_Fe_FERRE,C_Fe_FERRE_err,q_flag,c_flag,prev_obs
P113.3258+41.8856,113.32575226,41.88558960,15.080,15.338,0.020,-2.88,-2.57,0.20,6430,106,4.9,0.5,-0.20,0.61,X,-1,SEGUE
P113.3974+41.6625,113.39742279,41.66247559,15.787,16.512,0.020,-3.13,-2.66,0.22,5419,153,2.5,1.3,0.69,0.56,X,-1,nan
P113.3988+45.4722,113.39875793,45.47221375,15.736,15.963,0.020,-2.76,-2.52,0.21,6356,106,5.0,0.5,0.05,0.68,X,-1,nan
P113.6242+44.7252,113.62420654,44.72517395,14.780,15.297,0.020,-2.62,-2.00,0.20,5023,102,3.1,0.5,-0.52,0.40,X,1,nan
P113.7734+28.7025,113.77335358,28.70254707,15.894,16.347,0.020,-2.78,-2.39,0.20,5919,104,4.8,0.5,0.17,0.50,X,-1,nan
P113.8240+45.1863,113.82400513,45.18634415,15.428,15.710,0.020,-2.63,-3.10,0.20,5900,100,5.0,0.5,0.95,0.40,X,-1,nan
P113.9844+34.1313,113.98448181,34.13133240,15.456,15.768,0.020,-2.61,-2.25,0.21,6182,109,4.9,0.5,-0.03,0.52,X,-1,nan
P113.9862+26.1392,113.98628235,26.13927269,15.149,15.608,0.020,-2.45,-1.81,0.20,6383,101,3.8,0.5,0.27,0.50,X,-1,nan
P114.2544+29.7746,114.25448608,29.77467537,17.247,17.565,0.021,-3.27,-4.64,4.40,6064,116,5.0,0.6,-0.13,66.82,T,-1,nan
P114.5037+26.0306,114.50373077,26.03057480,16.007,16.558,0.021,-3.31,-0.66,0.20,6277,104,3.1,0.5,-1.78,0.50,X,-1,nan
P114.5092+37.5070,114.50923157,37.50704956,15.462,15.777,0.020,-2.46,-1.32,0.20,5504,101,4.2,0.5,-0.90,0.50,X,-1,LAMOST
P114.5199+25.9921,114.51990509,25.99208641,16.159,17.070,0.021,-3.76,-0.49,0.20,6128,102,3.6,0.5,-2.06,0.50,T,-1,nan
P114.5267+26.0033,114.52666473,26.00334167,15.876,16.594,0.021,-3.81,-0.70,0.20,5929,102,3.3,0.5,-1.74,0.50,X,-1,nan
P114.5807+25.9063,114.58078003,25.90631294,17.104,17.523,0.021,-2.89,-2.56,0.33,5483,124,1.1,0.6,1.14,0.57,T,-1,nan
P114.8436+46.2731,114.84363556,46.27312088,16.460,16.936,0.021,-3.44,-0.62,0.20,6260,104,3.8,0.5,-1.69,0.50,X,-1,nan
P115.6042+43.3358,115.60416412,43.33584976,15.607,15.874,0.020,-3.08,-2.85,0.20,6355,103,5.0,0.5,0.57,0.55,X,-1,nan
P115.9235+44.1145,115.92346954,44.11445236,14.701,15.045,0.020,-3.35,-2.19,0.20,6391,104,4.7,0.5,-0.22,0.61,X,-1,nan
P116.6086+27.5101,116.60861206,27.51010323,16.306,17.018,0.022,-3.09,-0.57,0.20,6435,103,4.2,0.5,-1.43,0.50,X,-1,LAMOST
P116.9657+33.5337,116.96569824,33.53367233,15.521,16.163,0.021,-2.70,-3.04,0.20,5025,101,1.0,0.5,0.67,0.50,X,1,nan
P117.1780+32.9883,117.17796326,32.98831940,16.436,17.218,0.023,-2.84,-2.97,0.22,5364,105,5.0,0.5,0.29,0.50,X,-1,nan
P117.9140+27.3299,117.91402435,27.32993698,16.176,16.485,0.021,-2.74,-2.27,0.21,6301,113,4.5,0.5,0.19,0.57,X,-1,nan
P117.9821+29.0101,117.98206329,29.01006317,15.211,15.988,0.020,-2.61,-2.11,0.20,5359,103,2.8,0.5,0.02,0.40,X,-1,nan
P118.4081+29.5161,118.40808105,29.51609802,16.277,16.991,0.021,-3.25,-0.17,0.20,7309,100,4.0,0.5,-2.15,0.50,X,-1,nan
P118.4494+29.4904,118.44941711,29.49038315,14.725,15.281,0.020,-3.45,-0.87,0.20,6031,102,3.4,0.5,-1.29,0.40,X,-1,LAMOST
P118.4857+29.4894,118.48572540,29.48936081,16.207,17.164,0.021,-3.76,0.43,0.20,7371,100,2.2,0.5,-3.12,0.50,T,-1,nan
P118.5011+29.4273,118.50108337,29.42729759,14.639,14.996,0.020,-2.94,-1.22,0.20,6224,101,1.5,0.5,0.02,0.41,X,-1,LAMOST
P118.5108+29.5711,118.51084900,29.57110596,15.156,16.016,0.020,-3.54,-0.67,0.20,5719,101,3.2,0.5,-1.72,0.50,X,-1,LAMOST
P118.5480+29.5778,118.54798889,29.57780266,16.438,17.855,0.022,-2.91,0.31,0.20,3500,100,5.0,0.5,-2.65,0.50,T,-1,LAMOST
P118.5484+38.7674,118.54837799,38.76738739,16.049,16.387,0.020,-2.89,-2.57,0.20,6117,102,5.0,0.5,0.40,0.49,X,-1,nan
P118.6517+27.2043,118.65174866,27.20430756,16.492,17.536,0.022,-3.80,-0.19,0.20,5277,100,4.2,0.5,-2.04,0.50,T,-1,LAMOST
P118.7671+40.4691,118.76708984,40.46908188,15.723,16.045,0.021,-2.98,-2.21,0.20,6117,109,4.7,0.5,0.23,0.42,X,-1,nan
P118.9238+44.4782,118.92378235,44.47817612,16.437,16.790,0.021,-3.08,-2.58,0.21,6149,116,4.3,0.6,1.28,0.50,X,-1,nan
P118.9737+39.6434,118.97372437,39.64343262,16.349,17.360,0.021,-2.92,-2.33,0.20,5041,106,1.7,0.6,0.47,0.52,X,1,nan
P119.2592+25.0335,119.25923920,25.03353310,15.479,15.745,0.020,-2.53,-2.58,0.21,6188,112,5.0,0.5,-0.60,0.52,X,-1,LAMOST
P119.3234+40.4821,119.32337952,40.48207855,16.024,16.261,0.020,-2.88,-2.77,0.21,6436,107,4.9,0.5,-0.25,0.64,X,-1,nan
P119.5683+47.0620,119.56827545,47.06198883,14.568,14.982,0.020,-2.38,-2.07,0.21,6094,120,4.1,0.6,-0.32,0.65,X,-1,LAMOST
P119.8310+36.5394,119.83095551,36.53937531,16.243,16.867,0.021,-2.81,-2.43,0.21,5544,110,2.2,0.6,-0.09,0.62,X,-1,nan
P120.0329+46.9241,120.03285217,46.92410278,15.301,16.027,0.020,-2.63,-2.40,0.20,5455,107,3.2,0.5,0.20,0.40,X,-1,nan
P120.3121+29.6345,120.31217957,29.63451385,16.763,17.352,0.022,-3.07,-2.00,0.62,5482,153,1.0,0.5,1.01,0.30,X,1,nan
P120.3329+32.3625,120.33293915,32.36246109,15.290,15.655,0.020,-2.82,-2.45,0.20,6003,103,5.0,0.5,0.29,0.32,X,-1,LAMOST
P120.4344+25.7207,120.43445587,25.72078133,15.186,16.372,0.020,-2.89,-2.68,0.20,4794,103,1.4,0.5,-0.35,0.51,T,-1,nan
P120.4660+48.7899,120.46604919,48.78991699,15.289,16.235,0.020,-2.67,-2.30,0.20,5232,101,1.5,0.5,0.79,0.51,X,1,nan
P120.6255+34.7532,120.62553406,34.75315094,15.931,16.431,0.021,-2.90,-2.83,0.21,5541,107,1.4,0.6,-0.05,0.67,X,-1,nan
P120.6374+27.4956,120.63747406,27.49564743,17.398,17.976,0.023,-3.77,-2.00,11.65,4750,104,3.5,0.5,-0.42,1.79,X,-1,LAMOST
P121.0173+47.4849,121.01734924,47.48490143,15.429,16.770,0.021,-2.57,-2.16,0.20,5139,107,1.6,0.5,0.06,0.41,X,1,nan
P121.0505+52.4766,121.05047607,52.47657394,14.899,15.304,0.020,-2.67,-2.62,0.20,6147,109,4.8,0.5,0.94,0.41,X,-1,nan
P121.1678+28.7044,121.16783905,28.70449638,17.137,17.393,0.022,-3.06,-3.87,1.13,5681,574,1.0,0.5,2.85,1.09,T,-1,nan
P121.7561+27.6847,121.75608826,27.68468857,15.573,16.138,0.021,-3.37,-2.68,0.20,5704,104,4.2,0.5,0.34,0.31,X,-1,nan
P121.9212+48.0542,121.92116547,48.05423737,16.183,17.509,0.021,-2.60,-0.30,0.20,5237,100,5.0,0.5,-1.90,0.50,T,-1,nan
P121.9351+26.8327,121.93511200,26.83272171,14.811,15.161,0.020,-2.75,-2.22,0.20,6321,105,4.9,0.5,-0.31,0.56,X,-1,nan
P122.0342+44.1082,122.03422546,44.10825729,15.882,16.215,0.020,-2.54,-2.61,0.21,6343,110,4.9,0.5,-0.49,0.60,X,-1,nan
P122.0570+45.6387,122.05698395,45.63865662,14.994,16.004,0.020,-2.53,0.50,0.20,7295,100,3.0,0.5,-2.87,0.50,X,-1,nan
P122.1997+30.5013,122.19968414,30.50133133,15.530,16.157,0.021,-3.26,-1.80,0.21,5958,116,4.8,0.5,-0.35,0.51,X,-1,LAMOST
P122.2297+54.5918,122.22968292,54.59177399,15.983,16.294,0.020,-2.94,-2.32,0.21,6343,122,4.7,0.5,0.15,0.69,X,-1,nan
P122.2390+46.8389,122.23899078,46.83891296,15.296,16.203,0.020,-2.98,-2.53,0.20,5089,104,1.6,0.5,0.66,0.41,X,1,nan
P123.0026+45.1022,123.00264740,45.10218811,16.410,16.707,0.021,-2.85,-2.36,0.21,6505,115,4.9,0.5,0.40,0.70,X,-1,nan
P123.3615+25.3677,123.36152649,25.36766434,16.403,16.909,0.021,-2.37,-0.18,0.20,7386,107,4.9,0.5,-1.58,0.52,X,-1,nan
P123.6124+44.4409,123.61242676,44.44093704,15.795,16.089,0.020,-2.78,-2.40,0.22,6327,131,4.8,0.5,0.05,0.79,X,-1,nan
P123.9848+30.8657,123.98478699,30.86568832,14.970,15.268,0.020,-2.51,-3.23,0.21,5976,102,5.0,0.5,0.51,0.59,T,-1,nan
P124.0301+25.6614,124.03012848,25.66141129,14.646,14.952,0.020,-2.85,-2.78,0.20,6312,102,5.0,0.5,-0.18,0.57,X,-1,nan
P124.1272+26.1186,124.12715912,26.11858559,15.677,16.342,0.021,-3.00,-2.97,0.21,5532,114,3.5,0.6,0.59,0.42,X,-1,nan
P124.3700+43.9947,124.36997223,43.99473572,15.850,16.391,0.020,-2.87,-2.73,0.21,5492,120,4.0,0.6,0.04,0.51,X,-1,nan
P124.4819+34.0899,124.48191071,34.08985519,16.086,16.884,0.022,-2.66,-2.78,0.20,5201,102,1.0,0.5,1.29,0.50,T,-1,nan
P124.6540+31.9375,124.65402222,31.93746376,14.878,15.448,0.020,-2.45,-2.00,0.20,5817,101,5.0,0.5,0.23,0.40,X,-1,nan
P124.9085+25.0170,124.90846252,25.01698875,16.228,16.649,0.020,-3.17,-2.01,0.20,5862,107,3.9,0.5,0.08,0.41,X,1,nan
P125.1028+25.7389,125.10277557,25.73885536,15.377,16.080,0.020,-2.71,-2.21,0.20,5437,105,2.8,0.5,0.34,0.40,X,1,nan
P125.2321+29.6810,125.23212433,29.68103600,16.668,16.959,0.021,-2.88,-2.63,0.81,6310,124,5.0,0.6,-0.57,2.63,X,-1,nan
P125.9203+44.8295,125.92032623,44.82945251,15.664,16.049,0.020,-2.89,-2.55,0.29,5945,327,3.1,1.9,0.52,0.91,X,-1,nan
P126.7029+28.9751,126.70290375,28.97509193,14.981,15.276,0.020,-2.77,-2.73,0.20,6461,104,4.9,0.5,0.16,0.71,X,-1,nan
P127.2049+25.9799,127.20498657,25.97993279,16.616,16.926,0.021,-3.44,-2.61,0.23,5846,102,4.9,0.5,0.16,0.39,X,-1,nan
P127.6512+25.4446,127.65122223,25.44464111,15.919,16.570,0.020,-2.65,-2.69,0.20,5687,103,5.0,0.5,0.27,0.50,X,-1,SEGUE
P128.0617+29.1841,128.06175232,29.18412018,16.460,16.808,0.021,-2.86,-2.87,0.86,6232,114,5.0,0.6,-0.36,4.14,T,-1,nan
P128.5425+34.3521,128.54252625,34.35207748,16.052,17.041,0.021,-2.80,-2.58,0.20,5135,109,2.6,0.5,0.18,0.40,X,1,nan
P128.6352+28.0834,128.63519287,28.08341408,15.895,16.209,0.020,-2.90,-2.45,0.20,6449,104,5.0,0.5,-0.25,0.64,X,-1,SDSS
P129.0738+32.4988,129.07379150,32.49882126,16.105,16.411,0.021,-2.76,-2.60,0.20,6356,105,4.9,0.5,0.22,0.67,X,-1,nan
P129.7025+29.7009,129.70245361,29.70094681,15.848,16.328,0.021,-2.72,-2.57,0.20,5802,102,4.9,0.5,0.22,0.40,X,-1,LAMOST
P130.6828+28.6801,130.68276978,28.68006325,16.253,16.698,0.021,-2.93,-2.66,0.21,5768,116,4.0,0.6,0.44,0.53,X,-1,nan
P131.1179+17.3509,131.11785889,17.35085869,16.121,16.568,0.021,-2.17,-2.10,0.21,5983,100,1.5,0.5,2.91,1.15,X,1,SDSS
P131.2434+17.2600,131.24345398,17.26004791,16.138,16.883,0.021,-3.15,-0.93,0.20,5813,101,1.0,0.5,0.01,0.51,X,-1,nan
P131.9390+35.5913,131.93902588,35.59128952,15.462,16.207,0.020,-3.04,-2.89,0.21,5242,103,1.4,0.6,1.09,0.42,X,1,nan
P131.9480+17.3819,131.94795227,17.38190269,16.254,16.602,0.021,-2.79,-3.00,0.20,6078,571,3.0,1.3,1.08,1.57,X,-1,nan
P132.1004+28.9256,132.10040283,28.92563629,14.780,15.311,0.020,-3.53,-0.79,0.20,6062,101,3.5,0.5,-1.59,0.40,X,-1,nan
P132.1313+28.1139,132.13128662,28.11390877,16.164,16.862,0.022,-2.77,-2.43,0.20,5274,101,1.2,0.5,0.66,0.50,X,1,nan
P132.8802+26.5025,132.88029480,26.50259972,15.178,16.180,0.021,-2.68,-2.28,0.21,5390,110,2.2,0.6,0.19,0.51,X,-1,nan
P132.9780+25.0663,132.97795105,25.06627464,16.398,16.874,0.021,-2.94,-2.34,0.20,5694,109,3.0,0.5,0.10,0.51,X,-1,nan
P133.0501+18.2438,133.05010986,18.24382591,16.091,16.562,0.021,-2.52,-2.20,0.20,6012,100,1.0,0.5,1.00,0.93,X,-1,nan
P133.0683+28.7219,133.06832886,28.72199631,15.392,16.083,0.020,-3.07,-3.41,0.21,5288,104,1.0,0.5,1.81,0.51,X,-1,nan
P133.0942+29.4820,133.09423828,29.48201942,15.213,16.118,0.020,-2.48,-2.19,0.20,5140,108,1.9,0.5,0.34,0.50,X,1,nan
P133.2581+43.2393,133.25807190,43.23929977,16.295,17.216,0.021,-3.48,-3.37,0.48,5103,123,1.0,0.5,0.77,0.47,X,1,nan
P133.4920+28.7491,133.49195862,28.74908257,15.898,16.223,0.020,-2.58,-2.39,0.20,6463,109,4.5,0.5,-0.43,0.56,X,-1,nan
P134.1806+45.0835,134.18055725,45.08348083,16.155,16.874,0.021,-2.88,-2.49,0.21,5276,123,2.9,0.6,0.07,0.51,X,1,nan
P134.5084+15.3492,134.50846863,15.34920788,16.829,17.176,0.022,-2.85,-3.00,0.49,5946,101,5.0,0.5,-0.84,0.66,X,-1,SDSS
P134.5457+36.9203,134.54568481,36.92031097,16.417,16.735,0.020,-3.88,-2.66,0.21,6095,105,4.9,0.5,1.33,0.50,X,-1,SEGUE
P134.6747+36.8112,134.67469788,36.81117630,16.105,16.712,0.020,-3.54,-2.20,0.21,5305,112,2.9,0.5,-0.03,0.50,T,-1,SEGUE
P134.7770+28.5011,134.77703857,28.50112724,15.792,16.729,0.021,-2.73,-2.65,0.20,5157,102,1.2,0.5,0.88,0.41,X,1,nan
P134.8974+18.1561,134.89743042,18.15613937,16.712,17.353,0.022,-3.51,-3.02,0.20,5690,102,1.0,0.5,1.18,0.78,X,1,nan
P138.4499+15.0968,138.44993591,15.09675026,16.786,17.134,0.022,-2.68,-3.08,0.24,5770,256,1.8,1.7,0.68,0.97,X,-1,SDSS
P138.4959+16.5690,138.49592590,16.56895828,16.055,16.904,0.022,-2.84,-3.47,0.21,5266,121,4.8,0.5,0.33,0.33,X,-1,nan
P140.1321+16.4130,140.13211060,16.41295624,16.724,17.118,0.023,-2.86,-2.11,0.21,6195,118,4.7,0.5,-0.39,0.43,X,-1,SDSS
P140.6414+16.7636,140.64141846,16.76356697,16.696,17.078,0.024,-2.79,0.33,0.20,7999,100,2.5,0.5,-2.94,0.31,X,-1,nan
P145.3874+15.0170,145.38739014,15.01704693,14.814,16.279,0.021,-2.55,-1.68,0.20,4838,101,1.7,0.5,-0.29,0.50,X,-1,nan
P145.5605+16.0643,145.56059265,16.06434631,17.476,17.796,0.030,-3.13,-2.00,23.61,6067,108,4.7,0.5,-1.00,0.44,X,-1,nan
P145.7380+17.6431,145.73806763,17.64319992,16.337,16.692,0.022,-3.00,-2.73,0.96,6013,117,5.0,0.6,-0.58,2.99,X,-1,nan
P147.5127+16.9747,147.51278687,16.97472000,17.059,17.464,0.024,-3.26,-2.97,0.24,6036,105,5.0,0.5,0.99,0.53,X,-1,LAMOST
P148.3173+15.9566,148.31713867,15.95654202,15.601,16.386,0.021,-2.18,-2.32,0.20,5060,101,1.0,0.5,-0.22,0.50,X,-1,nan
P148.6397+15.9026,148.63972473,15.90255547,16.524,16.925,0.021,-2.47,-2.10,0.20,6201,100,0.7,0.5,3.00,1.26,X,1,SDSS
P149.1134+12.8277,149.11337280,12.82774448,16.064,16.600,0.022,-2.59,-2.29,0.20,5925,105,4.9,0.5,0.27,0.50,X,-1,LAMOST
P149.1350+15.0447,149.13500977,15.04465580,16.063,16.384,0.021,-2.72,-2.46,0.21,6046,104,1.1,0.5,0.50,0.98,X,-1,nan
P149.5692+15.4688,149.56918335,15.46880817,16.637,17.425,0.022,-3.90,-1.79,0.20,5139,101,1.0,0.5,0.44,0.41,X,-1,nan
P149.6343+15.8455,149.63432312,15.84545231,16.029,17.002,0.021,-2.51,-1.76,0.20,5268,102,1.0,0.5,0.39,0.22,X,-1,nan
P149.9966+17.6670,149.99661255,17.66703796,15.287,15.667,0.021,-2.78,-2.07,0.20,6116,104,4.6,0.5,0.30,0.41,X,-1,LAMOST
P150.7099+17.8957,150.70989990,17.89574242,15.033,15.328,0.020,-2.61,-2.76,0.20,6481,104,5.0,0.5,-0.23,0.62,X,-1,nan
P151.0386+15.9891,151.03868103,15.98912239,17.399,17.703,0.022,-2.95,-2.34,0.26,6311,171,3.1,1.3,1.11,1.24,X,-1,nan
P151.2153+12.5653,151.21527100,12.56531143,15.695,16.133,0.021,-2.41,-2.55,0.21,5872,113,3.7,0.6,0.48,0.52,X,-1,LAMOST
P151.2412+17.8259,151.24116516,17.82591438,14.527,14.992,0.020,-2.45,-1.27,0.20,5500,100,2.1,0.5,-1.03,0.40,X,-1,LAMOST
P151.3477+14.8656,151.34774780,14.86563587,15.449,15.941,0.021,-2.44,-2.54,0.34,5790,229,2.6,1.0,1.76,0.60,X,1,LAMOST
P151.4840+13.8896,151.48403931,13.88961411,15.527,16.077,0.021,-3.06,-0.67,0.20,5802,101,4.3,0.5,-1.58,0.50,X,-1,LAMOST
P151.4987+13.9309,151.49877930,13.93091106,16.666,17.219,0.022,-3.09,-2.92,0.64,5380,176,1.0,0.5,0.98,0.59,X,-1,LAMOST;SEGUE
P152.8666+16.9061,152.86663818,16.90607262,16.194,16.483,0.021,-3.05,-3.05,0.21,6104,103,5.0,0.5,1.02,0.50,X,-1,nan
P153.2704+14.1455,153.27038574,14.14546680,15.976,16.265,0.021,-2.53,-2.85,0.20,5990,102,5.0,0.5,0.34,0.54,T,-1,LAMOST
P153.3622+14.2057,153.36215210,14.20566940,16.475,16.704,0.022,-2.97,-2.18,0.21,6445,124,4.7,0.5,-0.19,0.63,X,-1,nan
P153.8487+17.9888,153.84870911,17.98884964,16.913,17.211,0.022,-3.10,-3.01,0.64,6197,101,5.0,0.5,0.12,5.66,X,-1,SDSS
P153.9697+13.5115,153.96969604,13.51150322,15.584,16.033,0.021,-2.50,-2.41,0.40,5847,288,3.4,1.2,0.11,0.85,X,-1,LAMOST
P154.4734+17.6566,154.47344971,17.65662575,15.957,16.355,0.021,-2.58,-2.81,0.20,6029,102,5.0,0.5,0.68,0.51,X,-1,LAMOST
P155.8718+15.8613,155.87176514,15.86128902,16.031,17.196,0.022,-2.97,-2.56,0.20,5099,102,1.2,0.6,0.39,0.52,X,-1,nan
P156.1674+15.1023,156.16748047,15.10239410,15.519,15.778,0.021,-3.54,-2.60,0.21,6053,104,5.0,0.5,-0.45,0.61,X,-1,nan
P156.7831+17.7233,156.78308105,17.72329521,14.924,15.734,0.021,-2.98,-2.20,0.20,5372,103,2.7,0.5,0.64,0.30,X,1,SEGUE
P158.2602+17.5895,158.26025391,17.58946991,15.469,15.883,0.021,-2.36,-2.88,0.68,5928,435,3.1,1.3,0.37,1.03,T,-1,LAMOST;SDSS
P158.2742+16.5430,158.27424622,16.54301453,16.433,17.227,0.022,-2.93,-2.72,0.20,5180,105,1.4,0.5,0.78,0.51,X,-1,nan
P158.6619+15.5063,158.66191101,15.50629997,16.311,16.647,0.022,-2.91,-2.42,0.21,5900,109,3.8,0.5,-0.60,0.56,X,-1,nan
P159.2890+13.0519,159.28904724,13.05188370,16.296,17.309,0.023,-2.81,-2.36,0.20,5091,104,1.9,0.5,0.23,0.50,X,-1,nan
P159.3444+12.7599,159.34442139,12.75985241,15.627,16.031,0.021,-2.53,-2.86,0.33,5954,243,3.5,1.4,0.18,0.84,X,-1,nan
P159.9480+15.9520,159.94798279,15.95203018,15.304,15.704,0.021,-2.72,-1.58,0.20,6139,104,4.0,0.5,-0.11,0.51,X,-1,LAMOST
P160.4424+02.9362,160.44245911,2.93620276,17.219,17.509,0.021,-3.01,-3.18,0.28,6514,109,5.0,0.5,1.10,2.35,X,-1,nan
P179.9454+41.0124,179.94540405,41.01240921,15.585,16.042,0.020,-2.44,-2.12,0.22,6274,133,4.9,0.5,-0.56,0.56,T,-1,nan
P179.9701+05.2637,179.97007751,5.26370001,16.197,16.968,0.021,-2.71,-2.15,0.21,5714,123,4.6,0.5,0.32,0.22,X,1,LAMOST
P180.1496+40.0874,180.14955139,40.08742142,15.818,16.518,0.021,-2.68,-1.62,0.20,5670,102,1.5,0.5,-0.41,0.41,X,-1,nan
P180.1930+42.5610,180.19299316,42.56096268,16.404,17.267,0.021,-2.72,-2.72,0.20,5156,105,1.2,0.5,1.10,0.51,X,-1,nan
P180.2240+01.7693,180.22402954,1.76927221,16.090,16.792,0.021,-2.75,-2.58,0.21,5368,115,2.5,0.7,1.06,0.34,X,1,nan
P180.3206+02.5788,180.32060242,2.57875824,15.712,16.304,0.020,-3.60,-2.99,0.23,5406,146,1.8,1.2,0.88,0.55,X,-1,nan
P180.3628+05.2003,180.36282349,5.20024443,15.915,16.788,0.021,-3.01,-2.19,0.21,5557,107,3.0,0.5,0.67,0.50,X,-1,SEGUE
P180.4136+03.1577,180.41368103,3.15779161,17.292,17.704,0.022,-3.52,-2.00,0.21,5640,108,4.5,0.5,0.07,0.41,X,-1,nan
P180.5106+01.2491,180.51062012,1.24905837,15.332,16.195,0.020,-2.43,-2.17,0.20,5356,102,2.5,0.5,0.40,0.40,X,-1,LAMOST;SEGUE
P180.8461+03.3249,180.84616089,3.32496667,17.424,17.714,0.022,-3.05,-2.75,0.28,5896,125,2.2,1.2,0.65,2.18,X,-1,nan
P180.8647+40.0075,180.86474609,40.00749207,15.053,15.510,0.020,-2.33,-2.08,0.21,5897,175,4.3,0.8,-0.28,0.54,X,-1,SEGUE
P180.9168+16.3478,180.91680908,16.34776688,15.376,15.755,0.021,-4.00,-0.74,0.20,5818,108,3.9,0.5,-1.53,0.50,X,-1,nan
P180.9348+16.3232,180.93481445,16.32323647,15.867,16.712,0.022,-4.00,-1.68,0.20,4095,107,1.9,0.6,-0.85,0.52,X,-1,LAMOST
P181.0673+44.1188,181.06730652,44.11883545,15.722,16.201,0.020,-2.36,-2.06,0.20,6147,119,4.4,0.5,-0.55,0.55,X,-1,nan
P181.0889+01.5667,181.08894348,1.56671107,15.860,16.368,0.021,-3.01,-1.18,0.20,5763,103,3.2,0.5,-1.07,0.40,X,-1,LAMOST
P181.2156+12.9387,181.21557617,12.93868637,14.867,15.319,0.020,-2.19,-2.39,0.20,6267,105,4.9,0.5,0.70,0.34,X,-1,nan
P181.4395+01.6294,181.43951416,1.62938893,14.671,15.562,0.020,-3.82,-2.51,0.21,5093,113,2.0,0.6,0.27,0.53,X,1,nan
P181.5243+03.3550,181.52433777,3.35499716,16.805,17.321,0.021,-3.16,-2.52,0.21,5595,106,1.2,0.5,0.44,0.74,X,-1,nan
P181.6339+11.9943,181.63391113,11.99425602,15.005,15.303,0.020,-3.15,-2.27,0.20,6368,101,5.0,0.5,0.30,0.51,X,-1,nan
P181.7492+06.2046,181.74919128,6.20463896,15.904,16.769,0.021,-2.83,-2.42,0.21,5373,110,1.7,0.6,0.76,0.45,X,1,nan
P181.8092+10.5642,181.80921936,10.56424713,17.467,17.800,0.022,-3.55,-2.68,0.23,6242,104,5.0,0.5,0.94,0.53,T,-1,nan
P181.8233+49.7479,181.82328796,49.74792099,15.374,16.028,0.020,-3.79,-0.89,0.20,5899,102,3.2,0.5,-1.19,0.40,X,-1,nan
P181.8484+06.3019,181.84835815,6.30189991,15.823,16.176,0.020,-2.95,-2.51,0.21,6188,112,4.5,0.5,0.53,0.51,X,-1,SDSS
P181.9662+41.9387,181.96621704,41.93868637,15.052,15.977,0.020,-3.24,-1.90,0.20,5503,103,1.0,0.5,-0.00,0.41,X,-1,nan
P182.4319+43.1393,182.43190002,43.13925171,16.077,16.821,0.020,-2.79,-2.47,0.21,5810,111,4.6,0.5,0.64,0.51,X,-1,nan
P182.5866+09.8940,182.58645630,9.89390278,15.235,15.597,0.020,-2.82,-3.48,0.23,6237,164,5.0,0.7,-0.25,0.91,X,-1,nan
P182.5908+06.1748,182.59089661,6.17469454,15.876,17.277,0.021,-99.99,-2.95,0.22,6221,121,4.8,0.5,0.01,0.88,X,-1,nan
P182.8207+00.0767,182.82072449,0.07670556,17.360,17.738,0.022,-3.27,-2.26,0.24,6024,103,5.0,0.5,0.18,0.50,X,-1,LAMOST
P183.0370+00.3767,183.03707886,0.37677222,16.922,17.202,0.021,-3.21,-2.42,0.57,6240,109,5.0,0.6,0.18,4.20,X,-1,SEGUE
P183.1681+16.2690,183.16809082,16.26899719,15.316,16.706,0.022,-2.87,-1.73,0.20,4531,100,5.0,0.5,-0.46,0.50,X,-1,LAMOST
P183.3660+00.5365,183.36590576,0.53644723,15.777,16.063,0.020,-3.25,-2.20,0.21,6293,110,4.7,0.5,0.09,0.51,X,-1,nan
P183.4291+00.4216,183.42900085,0.42164722,15.304,15.586,0.020,-3.37,-2.21,0.21,6418,108,5.0,0.5,0.04,0.61,X,-1,nan
P183.4575+48.4763,183.45750427,48.47625732,14.863,16.115,0.020,-3.18,-0.31,0.20,5644,101,5.0,0.5,-1.83,0.50,X,-1,LAMOST
P183.4861+08.4639,183.48608398,8.46388626,16.052,16.560,0.022,-3.81,-1.26,0.20,5772,106,4.6,0.5,-0.55,0.50,X,-1,nan
P183.5424+13.6790,183.54237366,13.67902756,15.070,15.412,0.020,-3.14,-1.71,0.20,6656,107,4.8,0.5,-0.51,0.54,X,-1,nan
P183.5554+08.5924,183.55535889,8.59242249,16.026,16.763,0.022,-2.91,0.02,0.20,5985,105,4.8,0.5,-1.94,0.50,X,-1,nan
P183.5596+10.7765,183.55957031,10.77646351,15.932,16.668,0.021,-2.74,-2.30,0.21,5307,121,1.9,0.7,0.20,0.46,X,-1,LAMOST
P183.9019+04.2569,183.90197754,4.25688076,15.650,16.968,0.021,-2.84,-2.16,0.20,5041,106,1.9,0.5,-0.54,0.51,T,-1,SEGUE
P184.1159+06.1760,184.11587524,6.17598343,16.765,17.434,0.021,-2.96,-2.34,0.21,5340,116,2.6,0.6,0.19,0.33,X,-1,SEGUE
P184.1783+01.0664,184.17823792,1.06638885,15.812,16.113,0.020,-3.00,-3.49,0.21,6323,111,4.4,0.5,2.26,0.31,X,-1,nan
P184.1975+04.0867,184.19757080,4.08674431,16.946,17.252,0.021,-3.17,-3.09,1.05,6265,103,5.0,0.5,-0.63,3.31,X,-1,nan
