name,ra,dec,V,CaHK_0,CaHKerr,FeH_pris,FeH_FERRE,FeH_FERRE_err,temp_FERRE,temp_FERRE_err,logg_FERRE,logg_FERRE_err,C_Fe_FERRE,C_Fe_FERRE_err,q_flag,c_flag,prev_obs
P324.4274+25.5438,324.42742920,25.54381371,15.712,16.149,0.021,-2.95,-2.65,0.20,5479,103,1.3,0.5,0.59,0.53,X,-1,nan
P325.8756+24.6005,325.87564087,24.60050774,15.502,15.776,0.020,-3.17,-2.06,0.20,5912,106,3.9,0.5,0.27,0.41,X,-1,nan
P325.9196+24.7258,325.91961670,24.72581100,15.657,16.201,0.021,-3.11,-2.41,0.21,5459,116,3.6,0.5,0.14,0.40,X,-1,nan
P326.3868+26.1798,326.38687134,26.17981148,15.324,15.388,0.020,-3.33,-1.88,0.20,6187,103,1.4,0.5,-0.14,0.71,X,-1,nan
P327.9398+24.8261,327.93988037,24.82618332,15.908,16.362,0.021,-3.49,-1.85,0.20,5523,108,4.5,0.5,0.07,0.40,X,-1,nan
P328.2355+24.1116,328.23547363,24.11156082,15.424,16.617,0.021,-2.93,-2.00,0.20,4753,100,4.3,0.5,-0.12,0.50,T,-1,nan
P328.2415+24.1452,328.24148560,24.14516640,15.449,16.197,0.020,-3.21,-0.93,0.20,5597,101,2.6,0.5,-1.40,0.50,X,-1,nan
P328.2577+24.0539,328.25772095,24.05386353,15.479,16.085,0.020,-2.93,-1.65,0.20,5501,101,1.0,0.5,-0.08,0.50,X,-1,nan
P328.6103+24.5992,328.61032104,24.59922981,15.854,16.135,0.020,-3.04,-2.27,0.28,5978,194,3.0,1.5,-0.23,0.67,X,-1,nan
P328.7739+25.5261,328.77392578,25.52611732,15.570,16.169,0.021,-3.41,-2.50,0.21,5317,110,2.2,0.7,0.81,0.43,X,-1,nan
P329.5103+26.1090,329.51025391,26.10898018,14.982,15.292,0.020,-2.95,-2.91,0.21,5820,107,5.0,0.5,0.54,0.42,X,-1,nan
P330.1310+25.0435,330.13098145,25.04354668,15.776,16.250,0.021,-3.13,-2.08,0.20,5634,108,3.5,0.5,0.31,0.40,X,-1,nan
P338.9407+24.3994,338.94070435,24.39935493,15.484,16.535,0.021,-3.14,-2.01,0.20,4752,100,1.2,0.5,0.02,0.50,T,-1,nan
P339.1417+25.5503,339.14172363,25.55030060,14.772,15.012,0.020,-3.15,-3.42,0.21,6048,104,5.0,0.5,1.19,0.41,X,-1,nan
P339.3203+25.8764,339.32031250,25.87639427,15.370,15.781,0.020,-3.26,-3.49,0.21,5589,104,5.0,0.5,0.45,0.49,X,-1,nan
P231.0569+02.4233,231.05683291,2.42330151,15.475,15.803,0.020,-2.75,-2.52,0.20,6255,101,4.9,0.5,-0.35,0.43,X,-1,nan
P236.7267+06.4642,236.72674350,6.46429341,15.181,22.176,0.020,-2.90,-2.54,0.21,6243,108,4.1,0.5,0.05,0.71,X,-1,nan
P323.6849+24.3376,323.68491037,24.33757366,14.883,15.521,0.020,-2.61,-0.33,0.20,6010,102,3.6,0.5,-2.08,0.50,X,-1,nan
A_P9.338+29.66362572,9.33380000,29.66360000,13.330,13.660,0.020,-2.65,-2.41,0.20,6190,102,5.0,0.5,0.48,0.42,X,-1,nan
P198.0851+08.9428,198.08050000,8.94280000,15.669,16.045,0.020,-3.00,-3.37,0.23,5623,129,1.3,0.6,0.20,0.84,T,-1,nan
