#RA DEC Teff logg Fe dFe RV     
227.2895 1.3378  5750 4.3  -0.35 0.19183325664470124 4.91   
228.4607 8.3553  6525 4.32 -2.2  0.16492422133836274 8.08   
228.6558 9.0914  6695 4.26 -2.26 0.12369316600377205 -147.32
228.8159 0.2222  6520 4.36 -2.02 0.11999999731779099 5.61   
229.0409 10.302  5400 4.55 -0.1  0.2121320296144438  -8.15  
229.1219 0.9089  6385 3.7  -2.25 0.1307669653833507  -223.25
229.8911 0.1106  5600 4.0  0.1   0.1574801539602804  -2.05  
230.4663 6.5252  5348 3.45 -1.15 0.20199009425241102 -26.63 
231.0318 6.4867  5468 3.9  -0.35 0.16613247354501126 21.45  
232.6956 8.3392  5641 3.4  -2.22 0.23811761267346965 -37.84 
232.8039 6.1178  5280 2.3  -2.26 0.22045407192295344 -212.58
233.573  6.4702  4991 1.9  -2.74 0.14560219453114764 -80.66 
233.9312 9.5596  5505 3.5  -2.2  0.14142135307629586 -99.38 
234.4403 13.3742 5600 4.51 -0.4  0.16970562369155504 -66.48 
235.1448 8.7464  6167 3.64 -2.54 0.18761662619937872 -156.26
235.7578 9.0     6654 4.2  -1.81 0.13747726777581873 -58.7  
235.971  9.1864  6300 3.7  -1.83 0.18973665536915796 -32.49 
236.1077 10.5311 4650 1.47 -2.55 0.08774964191256385 -41.51 
236.4855 10.6903 5850 3.7  -0.27 0.09165151185054582 -36.42 
236.7138 9.6084  5450 3.45 -0.85 0.19183325664470124 54.25  
236.9604 11.6155 5167 1.8  -3.75 0.23   0 
237.8246 10.1427 5405 2.8  -3.23 0.1599999964237213  -165.9 
237.8353 10.5902 5250 2.7  -2.32 0.15231545871276228 -237.67
237.8589 12.566  6148 3.61 -3.93 0.17   0 
237.8589 12.566  6148 3.61 -4.28 0.39   0 
237.9609 15.4023 6557 4.09 -1.9  0.20346989494585138 -267.22
238.7217 6.1945  6551 4.2  -2.06 0.1307669653833507  -195.14
240.0348 13.8279 4760 1.52 -2.3  0.1843908850244002  3.55   
240.4216 9.6761  5204 2.6  -2.98 0.1039230461312715  37.59  
241.1186 9.4156  6299 3.95 -1.92 0.16970562369155506 -51.47 
241.79   14.092  6485 3.9  -2.51 0.15491933038557973 -127.8 
242.3556 7.9425  6326 3.9  -1.95 0.14071246964953404 -181.11
243.839  6.9966  5878 3.52 -1.95 0.21633307169241828 -17.94 
244.4872 16.8936 6214 3.9  -2.1  0.22135943715421874 -192.08
244.8986 10.931  6143 3.72 -3.53 0.29   0 
245.1096 8.8947  5567 4.45 -0.35 0.08306623677250563 -30.9  
245.4387 8.9954  6464 4.1  -1.67 0.19899748297338354 -82.89 
245.5747 6.8844  5424 2.95 -3.17 0.09486832768457898 -188.96
245.8364 13.8778 5150 2.28 -3.06 0.10198038799241634 -176.99
246.8588 12.3193 5070 2.21 -2.25 0.1766352133784522  -86.02 
246.9682 8.536   6114 3.58 0.25  0.28   0 
247.2115 6.6348  4848 1.19 -3.3  0.16   0 
248.4394 7.923   6350 4.4  -1.72 0.07141428268919486 -15.66 
248.4959 15.0776 5069 1.86 -2.63 0.15231545871276228 -74.03 
248.5263 8.9342  5300 2.45 -2.07 0.20999999530613422 -109.73
250.6971 8.3743  5020 1.8  -2.66 0.22847318806914343 -4.08  
250.8797 12.1101 5600 4.4  0.05  0.08062257568093045 4.67   
251.4082 12.3657 4919 1.54 -3.22 0.1113552847676158  -4.43  
252.1648 15.0648 4770 1.35 -2.43 0.08306623677250563 -157.06
252.4208 12.6477 5500 3.6  -1.3  0.09797958752131262 35.27  
252.4917 15.2984 5900 3.7  -0.6  0.09273618288214178 62.65  
252.6179 16.0546 4810 1.6  -2.52 0.08485281184577752 -113.39
253.8582 15.724  5077 2.25 -2.58 0.19899748297338354 -98.39 
254.0662 14.2694 5500 3.8  -0.56 0.19183325664470124 -29.7  
254.5215 15.4969 5640 4.3  -0.09 0.08124038223049553 25.01  
254.5478 10.9129 5460 3.35 -2.15 0.1599999964237213  94.21  
254.7768 13.8208 5600 4.05 -0.35 0.08660253844272625 -16.41 
255.2679 14.9714 6479 3.88 -2.09 0.17233687554411142 27.92  
255.5564 10.8613 5495 2.86 -2.55 0.17233687554411142 -372.85
255.8043 10.8443 5600 3.2  -2.99 0.15000000223517418 -266.01
256.16    -43.011887 5566 2.49 -2.35 0.04 -166.93
256.54504 -32.006195 4994 2.06 -2.71 0.03 -6.6   
257.3131 12.8939 5149 1.78 -2.89 0.19   0 
258.1048 40.5405 6554 4.37 0.0   0.19   0 
258.73856 -50.005165 5040 1.24 -3.26 0.05 265.99 
258.74487 -30.001999 4990 1.57 -2.9  0.04 95.36  
270.32623 -82.01303  5978 1.45 -2.18 0.04 86.84  
271.2642  -54.007057 4895 1.13 -3.26 0.13 -90.12 
272.48657 -76.01662  5391 1.87 -2.03 0.02 262.45 
273.27768 -67.00041  5752 2.28 -2.48 0.06 66.65  
275.37372 -82.00425  4868 1.11 -3.11 0.02 -154.23
275.588   -76.00703  5962 2.32 -2.61 0.06 -33.79 
275.68546 -60.010113 4886 1.02 -2.97 0.04 -225.93
276.27487 -39.002277 5287 2.26 -2.79 0.04 26.1   
278.1237  -32.008083 5160 2.48 -2.56 0.03 1.41   
278.396   -56.015583 5304 1.74 -2.23 0.07 50.41  
280.90866 -39.002304 5121 1.56 -2.39 0.04 218.38 
281.75235 -42.005806 4842 2.17 -2.65 0.06 -368.27
282.23282 -31.006916 4811 1.51 -2.85 0.03 -458.3 
31.9938  27.7363 6172 3.79 -3.07 0.26   0 
327.6864168 -49.38000518 4516 1.26 -3.5  0.05  35.43 
335.4728669 -38.353075   4721 1.28 -3.24 0.05 -19.64
339.1417 25.5503 6434 4.41 -2.8  0.11   0 
339.3203 25.8764 5591 3.11 -3.33 0.14   0 
339.9024532 -32.79367015 4431 0.79 -3.45 0.05 -41.25
346.2032    -10.6965     4966 2.06 -3.51 0.19 -133.5
346.2032242 -10.69653255 5050 1.89 -3.46 0.1  -132.9
353.7995    21.2648      5230 2.73 -3.41 0.19 -195.2
354.6358    23.7941      5280 2.71 -3.38 0.2  -193.5
354.7701    30.2509      4928 1.83 -3.21 0.17 -186.7
354.9615    28.4659      4446 0.87 -3.48 0.11 -190.6
355.1327    27.9819      4881 1.64 -3.3  0.15 -194.4
355.2671    22.9677      5248 2.76 -3.34 0.19 -191.1
355.2755    27.7483      4958 1.89 -3.15 0.17 -197.3
355.3223    27.5993      4570 1.07 -3.49 0.21 -183.6
355.3224059 27.59935697  4628 0.96 -3.17 0.07 -180.4
355.4056    24.2832      5193 2.6  -3.39 0.18 -178.8
8.5638   28.1855 6154 4.61 -2.82 0.11   0 
122563   122563  4749 1.12 -2.88 0.07   0
