#RA DEC Teff logg Fe dFe RV
225.8227 +14.2933 5400.0 3.5  -3.07  0.15 -93.7 
225.8227 +14.2933 6600.0 3.5  -1.87  0.15 -93.7 
226.3808 +09.4964 5266 3.0  -2.67 0.19 −192
227.2805 +12.4031 6559 4.42 -1.8  0.3  −43 
227.8447 +15.1545 6298 4.15 -1.55 0.32 −182
228.1007 +10.7260 4763 1.04 -2.6  0.19 −215
228.1376 +12.2612 5447 3.29 -3.0  0.4  −136
228.5701 +07.0848 6694 4.22 -1.63 0.15 −157
229.5434 +10.6323 6443 3.73 -1.64 0.22 −132
230.4662 +06.5251 5520.0 3.93 -0.78  0.15 -26.5 
231.0319 +06.4867 5880.0 4.57  0.03  0.15 22.0  
231.2818 +06.4018 5960.0 4.3  -0.14  0.15 -44.0 
233.1472 +14.1278 5806 3.74 -0.62 0.18 −131
233.5160 +15.9466 6616 3.89 -2.28 0.2  −51 
233.5730 +06.4702 5250.0 2.5  -2.28  0.15 -79.2 
233.5763 +03.4486 6488 4.15 -1.17 0.47 −124
233.7227 +04.8972 5337 3.49 -2.48 0.39 −98 
233.8164 +02.8563 4752 1.43 -2.51 0.17 −104
234.0338 +12.6370 6603 4.2  -2.49 0.08 −170.8
235.0278 +07.5059 6442 3.13 -1.12 0.34  65.7   
235.0537 +07.5988 6680 4.32 -2.19 0.13 −126.7
235.1408 +11.2412 5391 3.21 -2.21 0.24 −95 
235.2603 +12.7880 4867 1.4  -2.02 0.22 −208
236.1350 +07.9341 5945 4.27 -0.17 0.3  −129
236.2417 +07.1782 5601 3.62 -2.45 0.45 −168
236.4719 +15.3328 6444 4.35 -1.75 0.21 −142.5
236.7635 +05.4474 5370 2.94 -2.03 0.17 −213.2
236.8164 +14.3400 5566 3.48 -2.97 0.43 −77 
237.0863 +10.5790 5570.0 4.54 -0.09  0.15 -28.1 
237.1666 +04.0968 4801 1.54 -2.83 0.21 −191
238.2716 +07.5917 5202 2.48 -2.32 0.22 −86.1 
238.6700 +05.8295 5051 1.83 -2.27 0.19  29   
238.7984 +13.4432 5245 2.77 -3.02 0.4  −60 
239.0673 +04.4411 5815 4.65 -3.8  0.4  −73 
239.5168 +06.8645 5686 4.04 -0.22 0.23 −13 
240.2908 +07.9401 5023 1.78 -2.16 0.24 −0.5  
240.8121 +07.2526 6485 4.03 -1.5  0.2   0    
241.1299 +06.3632 6269 4.0  -1.57 0.2  −159.9
241.1613 +16.3672 5729 3.86 -1.36 0.27 −123
241.4951 +12.2706 5604 3.58 -2.55 0.27 −16 
241.5968 +04.5933 4910 1.41 -2.24 0.19 −193
241.9145 +09.8595 4687 0.97 -2.2  0.22  65   
242.0410 +15.8022 4874 1.63 -3.07 0.19 −278
242.1683 +11.6600 4841 1.59 -2.42 0.18 −160
242.4016 +05.8580 5264 2.72 -2.83 0.18 −136
242.4202 +17.8114 5929 3.08 -2.0  0.4   117  
242.4476 +16.9021 5017 2.13 -2.81 0.2   62   
242.4481 +17.4384 4895 1.42 -2.36 0.19 −112
242.9404 +11.7356 4460 0.9  -2.39 0.2  −52 
243.2008 +06.8892 5683 4.61 -0.06 0.35  18   
243.5457 +12.5189 6179 4.45 -0.37 0.3   34   
243.8528 +06.6345 4886 1.7  -0.65 0.4  −5  
243.8922 +04.8666 5601 3.9  -0.99 0.16 −20 
244.7163 +09.2647 5325 4.39 -0.71 0.23 −5  
245.0350 +07.0160 4858 1.51 -2.65 0.29 −12 
245.8356 +13.8777 5650.0 3.44 -2.12  0.15 -176.0
245.9038 +05.9390 6390 4.03 -1.17 0.35 −82 
246.0821 +09.9611 5956 4.1  -2.32 0.3  −33 
246.4406 +15.0900 6081 2.63 -1.59 0.17  107.5  
246.4552 +14.2016 6471 4.2  -2.38 0.4  −20 
247.2527 +05.6626 5661 3.18 -2.77 0.4   54   
247.3535 +10.1964 5175 2.19 -2.79 0.34  45   
247.3761 +16.8149 5516 2.75 -3.43 0.35 −299
247.6492 +09.8880 4861 1.35 -2.67 0.2   119  
247.9296 +17.6603 5127 2.08 -2.87 0.3   41   
248.3014 +09.7034 6684 4.26 -2.07 0.52 −29 
248.8084 +17.4032 4863 1.48 -1.76 0.19 −64 
249.1867 +05.9980 6178 3.31 -2.09 0.44 −67 
249.2044 +10.5327 5240.0 2.07 -1.86  0.15 -402.0
249.6131 +05.3269 5303 2.91 -1.98 0.17 −257
250.2762 +09.2517 5704 3.74 -2.63 0.26  70   
250.2948 +14.9801 6638 3.89 -2.67 0.3  −45 
250.6963 +08.3743 5410.0 2.5  -2.12  0.15 -4.0  
251.2012 +16.7235 4801 1.48 -2.61 0.2  −366
251.2069 +14.7890 5612 2.56 -1.9  0.3  −252
252.3631 +13.2237 4886 1.33 -2.67 0.27 −18 
252.4992 +05.4959 4851 1.48 -2.55 0.2  −310
252.6959 +09.4020 4761 1.69 -2.62 0.21 −106
253.2195 +11.3874 6434 3.92 -3.0  0.3  −81 
253.5853 +16.2970 4582 1.02 -3.02 0.21  175  
254.0070 +12.7611 6080.0 4.63 -0.17  0.15 -16.8 
254.1519 +12.6741 6140.0 4.82 -0.21  0.15 16.9  
254.4746 +11.3806 4818 1.85 -3.08 0.17 −230
254.4842 +15.4573 5450.0 4.45 -0.08  0.15 -8.1  
254.5606 +15.4784 5220.0 4.08 -0.67  0.15 24.2  
254.5655 +13.1590 5105 3.07 -2.78 0.34 −162
254.7635 +17.2190 5297 2.89 -3.43 0.42 −149
254.8233 +12.6074 5793 3.59 -3.12 0.2   13   
255.0531 +10.7488 4500.0 4.5  -0.17  0.15 82.1  
255.8743 +11.3281 5385 2.66 -2.6  0.3   72   
