LAMOST,Sname,RAdeg,DEdeg,Teff_li,e_Teff_li,logg_li,e_logg_li,FeH_li,e_FeH_li,sng,rv,rv_err
J074916.29+301937.3,"spec-56257-GAC117N31B1_sp05-100         ",117.31787,30.327026,4707.5,262.1,1.76,0.59,-2.34,0.25,26.6,73.64,3.97
J074925.53+144941.3,"spec-56741-GAC115N15V2_sp08-059         ",117.35638,14.828152,6170.8,188.5,3.57,0.5,-2.19,0.17,45.1,76.02,6.69
J075041.19+141948.0,"spec-56741-GAC115N15V1_sp06-018         ",117.67163,14.330005,5315.5,183.3,1.27,0.6,-2.5,0.15,56.7,81.64,4.35
J075050.30+310508.9,"spec-56257-GAC117N31B1_sp04-130         ",117.70959,31.085804,5572.0,239.2,2.06,0.54,-2.08,0.12,42.4,22.55,4.41
J075120.88+273014.9,"spec-55919-GAC_118N28_M1_sp03-022       ",117.837,27.50415,6561.5,149.3,3.79,0.47,-2.43,0.22,16.0,9.17,9.14
J075130.39+181112.0,"spec-57014-GAC120N18M1_sp10-133         ",117.87664,18.186668,5886.5,234.3,3.53,0.56,-2.14,0.12,24.1,-97.79,8.01
J075134.39+220350.6,"spec-56626-GAC117N24V1_sp01-100         ",117.89329,22.064056,5750.0,150.0,3.96,0.43,-2.48,0.19,60.6,152.3,5.5
J075139.77+335757.1,"spec-56675-GAC115N34V2_sp13-093         ",117.91572,33.965855,5720.5,254.5,3.21,0.62,-2.11,0.12,175.7,23.79,1.99
J075139.79+335759.2,"spec-56675-GAC115N34V1_sp13-093         ",117.91578,33.966446,5730.0,233.8,3.21,0.62,-2.08,0.12,141.7,23.68,2.53
J075155.36-020045.7,"spec-56996-HD074336S012053V01_sp06-155  ",117.98068,-2.012692,5737.8,212.3,3.42,0.49,-2.41,0.21,17.9,-73.72,6.41
J075155.56+333705.1,"spec-56993-GAC115N34B1_sp06-094         ",117.98151,33.618073,6198.1,182.2,3.28,0.56,-2.28,0.17,34.0,57.41,5.65
J075159.24+284422.1,"spec-56657-GAC117N27M1_sp09-093         ",117.99683,28.739466,6303.0,197.5,3.41,0.54,-2.16,0.12,29.4,108.54,8.06
J075204.78+501514.5,"spec-57110-HD074504N482340V01_sp12-030  ",118.019905,50.25402,4899.7,289.7,2.93,0.56,-2.15,0.21,28.2,-33.07,4.06
J075213.53+303751.0,"spec-56257-GAC117N31B1_sp05-129         ",118.05638,30.630835,6012.2,212.3,2.92,0.62,-2.29,0.12,19.2,28.31,5.8
J075215.79+395622.1,"spec-57025-GAC118N39B2_sp15-244         ",118.06579,39.939487,6563.9,186.2,3.52,0.58,-3.08,0.22,25.6,-37.72,6.71
J075223.27+343247.5,"spec-57031-GAC115N34B2_sp13-127         ",118.09694,34.546535,5586.2,245.1,3.25,0.53,-2.08,0.12,22.5,23.63,4.1
J075238.38+261523.3,"spec-56600-GAC117N24B1_sp11-123         ",118.15993,26.256462,5725.9,202.1,2.23,0.55,-2.2,0.12,44.9,266.96,5.22
J075250.46+235931.9,"spec-56742-GAC117N24M1_sp04-120         ",118.21027,23.9922,6061.6,218.5,2.93,0.56,-2.02,0.14,19.5,148.93,7.92
J075305.14+373143.6,"spec-57004-GAC118N39B1_sp02-075         ",118.27142,37.528767,6050.6,183.4,2.75,0.67,-2.43,0.17,66.6,-162.26,2.88
J075317.45+345547.5,"spec-56993-GAC115N34B1_sp13-196         ",118.32271,34.929867,6210.5,190.5,3.38,0.5,-2.2,0.17,30.8,190.97,6.82
J075329.51+281211.6,"spec-56657-GAC117N27M1_sp09-041         ",118.37295,28.203226,6000.0,150.0,3.02,0.63,-2.23,0.17,43.4,63.77,8.09
J075347.98+040843.7,"spec-56316-GAC118N03V3_sp09-113         ",118.44993,4.145482,5974.0,189.6,3.44,0.49,-2.19,0.17,38.6,2.44,3.45
J075351.29+314834.3,"spec-56246-GAC121N33B1_sp02-160         ",118.46371,31.80953,5959.9,210.0,3.35,0.6,-2.17,0.14,27.9,313.37,9.32
J075436.30+183611.7,"spec-56966-GAC120N18B1_sp03-114         ",118.65127,18.603245,5526.0,189.6,2.21,0.66,-2.49,0.17,34.4,114.58,5.94
J075436.42+273512.6,"spec-56657-GAC117N27M1_sp09-012         ",118.65175,27.58682,6388.8,136.5,3.69,0.5,-2.92,0.26,32.3,-30.16,6.92
J075512.56+194408.1,"spec-56283-GAC120N18V2_sp16-178         ",118.80232,19.735594,4957.5,262.1,1.13,0.47,-2.21,0.28,43.3,-51.79,4.17
J075515.86+403530.6,"spec-57004-GAC118N39B1_sp15-208         ",118.81609,40.59184,5987.8,212.3,3.38,0.58,-2.1,0.12,27.2,-15.89,4.91
J075520.65+244218.6,"spec-56255-GAC120N25B1_sp10-212         ",118.83603,24.705153,5898.7,250.9,4.07,0.44,-2.06,0.14,26.9,-48.65,7.47
J075535.01+122304.4,"spec-56641-GAC117N12V2_sp09-132         ",118.89588,12.384568,5401.6,229.9,2.68,0.57,-2.06,0.2,80.8,-25.88,3.37
J075536.36+233820.4,"spec-56600-GAC117N24B1_sp08-055         ",118.90149,23.639004,5875.0,259.0,1.31,0.67,-2.34,0.18,73.0,12.79,4.57
J075610.40+541111.0,"spec-56740-GAC120N54B1_sp03-185         ",119.04333,54.1864,6024.1,202.1,3.42,0.5,-2.05,0.12,18.9,-43.39,10.37
J075613.98+093026.8,"spec-56338-GAC119N07V1_sp11-159         ",119.05823,9.507433,5125.0,259.0,3.35,0.52,-2.25,0.17,70.3,-5.59,3.42
J075614.61+492453.6,"spec-57110-HD074504N482340V01_sp13-114  ",119.06089,49.414883,4742.7,225.3,2.17,0.55,-2.14,0.27,50.0,15.2,3.22
J075621.40+262904.9,"spec-56657-GAC117N27M1_sp06-235         ",119.08916,26.484694,6183.4,203.7,3.32,0.62,-2.15,0.14,18.5,-68.06,11.3
J075630.26+403641.2,"spec-57017-GAC118N39M1_sp15-030         ",119.12609,40.611446,5987.8,212.3,3.24,0.6,-2.15,0.12,14.5,61.19,10.81
J075638.63+372203.6,"spec-57085-HD080326N370812V01_sp03-064  ",119.16097,37.367664,5461.9,260.4,3.15,0.49,-2.86,0.21,38.6,193.4,5.11
J075649.16+521609.8,"spec-56301-HD081044N520834B01_sp14-028  ",119.20484,52.269386,6448.1,182.2,3.15,0.59,-2.39,0.2,51.1,-8.38,4.22
J075702.22+250200.9,"spec-56600-GAC117N24B1_sp13-156         ",119.25923,25.033573,6250.0,192.1,3.09,0.62,-2.51,0.19,30.8,73.66,6.06
J075702.26+144758.2,"spec-56339-GAC120N14V2_sp03-084         ",119.25941,14.7995,5918.6,208.9,3.73,0.52,-2.08,0.17,34.8,109.42,6.11
J075709.32+380410.4,"spec-57004-GAC118N39B1_sp05-144         ",119.28882,38.06955,6198.1,182.2,3.71,0.5,-2.37,0.19,23.3,104.3,4.43
J075739.98+403802.8,"spec-57025-GAC118N39B2_sp15-029         ",119.4166,40.6341,5238.0,193.5,2.25,0.47,-2.19,0.17,28.9,207.78,4.15
J075747.12+323759.9,"spec-56246-GAC121N33B1_sp03-226         ",119.44632,32.633312,6125.0,135.5,3.25,0.56,-2.53,0.2,43.4,-180.34,6.12
J075757.40+273346.9,"spec-56967-GAC118N28B1_sp08-067         ",119.48917,27.563028,5715.5,282.3,4.13,0.38,-2.14,0.12,34.5,-128.41,4.65
J075816.39+470343.3,"spec-56653-HD081205N465629B01_sp14-030  ",119.56827,47.06204,6000.0,203.1,3.21,0.61,-2.02,0.14,70.6,-39.15,3.82
J075826.58+242052.2,"spec-56255-GAC120N25B1_sp05-064         ",119.61074,24.347845,5063.0,237.7,2.13,0.57,-2.42,0.17,23.4,118.44,5.2
J075832.20+230349.2,"spec-56255-GAC120N25B1_sp02-125         ",119.63415,23.063679,5401.6,229.9,2.68,0.57,-2.15,0.2,71.3,-42.73,3.19
J075835.86+230726.0,"spec-56266-GAC117N24V1_sp06-201         ",119.6494,23.123884,6199.4,183.4,3.38,0.61,-2.86,0.25,32.1,-10.05,4.55
J075856.47+554507.3,"spec-56740-GAC120N54B1_sp15-220         ",119.73529,55.752026,6000.0,184.9,3.01,0.68,-2.25,0.17,37.7,-314.88,5.29
J075917.55+222302.9,"spec-56655-GAC121N22M1_sp10-241         ",119.82314,22.38413,6274.1,202.1,3.49,0.54,-2.03,0.12,41.5,-1.62,6.9
J080011.80+131652.7,"spec-56339-GAC120N14V1_sp02-067         ",120.04915,13.281317,6238.0,193.5,3.03,0.67,-2.06,0.17,32.4,-151.46,5.34
J080017.24+152618.3,"spec-55915-F5591504_sp03-094            ",120.07183,15.438417,5959.9,210.0,3.62,0.56,-2.24,0.12,63.5,194.68,4.56
J080029.20+035354.7,"spec-56597-GAC121N02V1_sp16-054         ",120.12167,3.898514,6197.0,197.5,3.26,0.57,-2.18,0.17,43.9,329.45,7.91
J080041.19-020816.5,"spec-56617-GAC122S02V1_sp14-122         ",120.17164,-2.137905,5918.6,208.9,3.73,0.52,-2.08,0.17,145.9,119.44,3.06
J080104.34+461407.2,"spec-56653-HD081205N465629V01_sp10-071  ",120.26809,46.235325,6047.6,212.0,3.23,0.65,-2.1,0.14,23.0,212.46,9.39
J080105.80+234856.2,"spec-56640-GAC121N22B1_sp16-184         ",120.27417,23.815603,6611.2,136.5,3.62,0.52,-2.77,0.21,30.2,138.04,5.28
J080116.85+321253.1,"spec-56251-GAC121N33M1_sp05-054         ",120.32022,32.214737,6500.0,170.5,3.98,0.46,-2.88,0.27,17.9,-54.91,8.44
J080129.54+324124.4,"spec-56246-GAC121N33B1_sp04-189         ",120.37309,32.690117,5383.1,344.9,4.4,0.32,-2.25,0.3,17.2,205.65,6.89
J080139.51+522012.7,"spec-56965-HD081044N520834V01_sp03-074  ",120.41463,52.33687,5800.6,183.4,2.75,0.67,-2.45,0.19,43.1,-285.73,4.02
J080149.50+185329.8,"spec-57014-GAC120N18M1_sp15-102         ",120.45627,18.89162,6197.0,197.5,3.24,0.6,-2.12,0.17,30.9,20.79,7.49
J080151.25+182233.3,"spec-56283-GAC120N18V2_sp04-055         ",120.46356,18.375917,6155.9,192.5,3.34,0.58,-2.04,0.17,31.3,-173.56,5.84
J080151.72+194040.8,"spec-57014-GAC120N18M1_sp15-031         ",120.4655,19.677992,5788.1,260.4,1.51,0.54,-2.51,0.21,29.2,-95.41,7.96
J080156.21+410117.6,"spec-57004-GAC118N39B1_sp12-032         ",120.4842,41.02156,6224.0,189.6,1.88,0.8,-2.34,0.25,39.9,60.39,4.74
J080204.95+500811.9,"spec-56301-HD081044N520834B01_sp02-204  ",120.52064,50.136646,4730.0,233.8,1.74,0.61,-2.18,0.29,25.3,89.4,7.02
J080224.43+474126.1,"spec-56653-HD081205N465629B01_sp14-207  ",120.60179,47.69059,6288.1,260.4,3.06,0.61,-2.28,0.17,26.1,-67.55,6.24
J080300.71+172407.0,"spec-57014-GAC120N18M1_sp08-159         ",120.75294,17.401953,6155.9,192.5,3.38,0.58,-2.06,0.17,22.2,229.78,8.36
J080300.86+152112.1,"spec-56339-GAC120N14V1_sp04-218         ",120.75357,15.35337,5825.0,155.2,2.67,0.7,-2.34,0.17,29.0,-15.91,4.1
J080308.41+464316.4,"spec-56653-HD081205N465629B01_sp10-231  ",120.78504,46.721222,6250.0,192.1,3.24,0.57,-2.19,0.17,88.6,7.31,3.67
J080318.21+310457.8,"spec-56246-GAC121N33B1_sp01-040         ",120.82589,31.08272,6051.9,182.2,2.58,0.75,-2.04,0.17,21.7,177.52,11.61
J080318.30+283254.1,"spec-56978-GAC122N29B1_sp10-223         ",120.82627,28.548372,6288.1,260.4,2.75,0.67,-2.35,0.17,22.6,115.23,8.39
J080330.53+144903.8,"spec-55915-F5591504_sp03-004            ",120.87721,14.817723,6356.1,174.4,3.44,0.6,-2.03,0.12,20.8,11.02,9.38
J080330.63+052735.9,"spec-57026-HD080932N055536V01_sp10-211  ",120.87763,5.459961,4957.5,262.1,2.34,0.52,-2.18,0.25,46.1,-64.68,3.31
J080345.47+160014.7,"spec-57014-GAC120N18M1_sp01-196         ",120.93945,16.004072,6262.2,212.3,3.75,0.5,-2.1,0.12,18.1,117.62,10.73
J080348.81+214724.6,"spec-56640-GAC121N22V1_sp05-063         ",120.95336,21.79016,4991.9,242.6,1.78,0.57,-2.29,0.2,42.2,-11.68,3.98
J080353.04+221004.9,"spec-55916-F5591604_sp16-250            ",120.97101,22.168024,5875.0,216.1,2.67,0.64,-2.19,0.12,17.4,73.02,14.62
J080358.07+150859.1,"spec-55915-F5591504_sp04-177            ",120.99196,15.149759,6000.0,184.9,3.28,0.63,-2.44,0.21,21.2,46.07,7.69
J080405.91+182614.9,"spec-56966-GAC120N18B1_sp09-005         ",121.02463,18.437468,6172.6,170.3,3.11,0.67,-2.19,0.12,33.3,-142.36,6.25
J080407.44+210035.5,"spec-56655-GAC121N22M1_sp05-225         ",121.03101,21.00986,5913.8,245.1,3.69,0.51,-2.14,0.12,15.6,-58.92,12.07
J080410.98+171640.6,"spec-56966-GAC120N18B1_sp08-117         ",121.04574,17.277933,5959.9,210.0,3.15,0.67,-2.18,0.14,57.7,-116.76,3.41
J080416.51+295444.4,"spec-56978-GAC122N29B1_sp15-074         ",121.0688,29.912344,6474.0,189.6,3.11,0.6,-2.04,0.24,35.9,135.28,5.15
J080444.29+465949.4,"spec-56653-HD081205N465629V01_sp03-061  ",121.18455,46.99705,5860.7,252.9,4.18,0.38,-2.17,0.17,63.9,-2.93,4.55
J080452.84+574019.6,"spec-56646-HD081012N554815V01_sp16-074  ",121.22015,57.6721,4707.5,262.1,1.13,0.47,-2.19,0.32,110.5,-320.18,3.15
J080501.29+051037.8,"spec-55892-F9205_sp10-047               ",121.25537,5.177161,5262.2,212.3,1.47,0.56,-2.3,0.12,42.6,74.33,6.58
J080551.73+270651.2,"spec-56978-GAC122N29B1_sp02-019         ",121.46556,27.114225,5975.9,202.1,3.24,0.6,-2.19,0.17,23.3,75.76,7.48
J080602.54+284618.5,"spec-55874-GAC_122N29_B1_sp03-006       ",121.5106,28.771795,6382.5,155.1,3.86,0.46,-2.4,0.18,18.3,104.06,11.07
J080608.77+063349.8,"spec-55892-F9205_sp03-113               ",121.53652,6.563836,6183.4,203.7,3.32,0.62,-2.03,0.14,66.1,437.28,4.28
J080626.44+194211.5,"spec-56283-GAC120N18V2_sp12-022         ",121.61017,19.703201,5827.4,170.3,1.41,0.61,-2.62,0.2,125.0,205.52,4.35
J080632.13+340436.9,"spec-56246-GAC121N33B1_sp09-106         ",121.63389,34.076904,6098.4,229.9,3.46,0.56,-2.1,0.12,21.7,146.21,6.61
J080643.63+153218.8,"spec-55915-F5591504_sp04-061            ",121.68178,15.538548,5909.3,229.3,3.92,0.5,-2.09,0.17,24.9,2.52,6.75
J080652.90+043920.9,"spec-57026-HD080932N055536V01_sp05-209  ",121.72042,4.655796,5737.8,212.3,3.24,0.6,-2.06,0.12,44.1,192.16,3.05
J080705.97+172750.3,"spec-56966-GAC120N18B1_sp06-006         ",121.77489,17.463963,5012.2,212.3,1.83,0.55,-2.41,0.17,45.8,108.64,3.96
J080714.29+225539.4,"spec-56655-GAC121N22M1_sp04-221         ",121.80953,22.927605,6250.0,150.0,2.93,0.69,-2.28,0.17,26.3,71.34,7.13
J080716.76+224427.1,"spec-56655-GAC121N22M1_sp04-070         ",121.81984,22.740862,6184.5,183.3,3.37,0.57,-2.13,0.17,27.2,22.53,7.65
J080722.24+040129.2,"spec-55921-F5592103_sp16-006            ",121.84267,4.02479,4836.2,245.1,2.21,0.63,-2.16,0.22,59.0,255.7,3.82
J080727.09+221123.8,"spec-56692-GAC121N22B2_sp04-107         ",121.86288,22.189959,5692.2,310.3,4.27,0.34,-2.08,0.12,27.8,242.33,9.0
J080802.28+533930.7,"spec-56965-HD081044N520834V01_sp15-203  ",122.009514,53.658524,6094.1,192.5,1.97,0.58,-2.24,0.12,130.7,-159.55,3.33
J080805.74+164617.7,"spec-57014-GAC120N18M1_sp07-081         ",122.02393,16.771572,6237.8,212.3,3.8,0.53,-2.1,0.12,19.1,9.49,9.1
J080816.52+240114.7,"spec-56255-GAC120N25B1_sp06-013         ",122.06884,24.02075,6179.9,128.6,3.09,0.62,-2.69,0.22,36.0,-45.51,9.54
J080903.08+175136.6,"spec-56966-GAC120N18B2_sp06-127         ",122.26282,17.860159,6211.9,260.4,3.51,0.51,-2.22,0.17,52.8,-24.24,3.83
J080904.06+022520.6,"spec-56597-GAC121N02V1_sp09-003         ",122.26691,2.42238,5586.2,245.1,3.25,0.53,-2.08,0.12,107.1,243.29,3.85
J080911.78+251907.6,"spec-56255-GAC120N25B1_sp13-209         ",122.2991,25.318771,5114.7,333.5,4.34,0.31,-2.34,0.19,28.1,-22.1,5.31
J080943.32+174448.0,"spec-57014-GAC120N18M1_sp06-160         ",122.43049,17.746674,6183.4,203.7,3.29,0.62,-2.15,0.12,22.5,-49.52,8.84
J080955.59+060403.9,"spec-55892-F9205_sp04-163               ",122.48163,6.067741,6092.3,189.5,3.98,0.47,-2.19,0.17,69.2,54.25,4.43
J081001.00+242858.1,"spec-56255-GAC120N25B1_sp06-186         ",122.50417,24.482805,5508.4,246.1,2.56,0.65,-2.48,0.14,17.3,15.97,9.2
J081001.37+274753.4,"spec-56978-GAC122N29B1_sp05-021         ",122.50571,27.798166,6175.0,155.2,1.71,0.65,-2.71,0.22,83.3,-157.87,2.88
J081002.05+011648.9,"spec-55921-F5592103_sp02-031            ",122.50854,1.280247,6347.4,136.2,3.24,0.55,-3.14,0.27,34.9,-11.29,4.81
J081012.62-075541.6,"spec-56285-GAC122S06V2_sp05-043         ",122.5526,-7.928229,4988.0,193.5,1.86,0.46,-2.57,0.19,17.8,190.76,4.26
J081020.50+263754.3,"spec-56978-GAC122N29B1_sp01-016         ",122.5854,26.631744,6354.5,154.0,3.03,0.75,-2.48,0.17,15.9,122.1,10.96
J081023.32+210119.1,"spec-56655-GAC121N22M1_sp07-118         ",122.59717,21.02196,5848.5,268.0,3.71,0.49,-2.18,0.12,23.7,19.84,8.73
J081023.38+113200.5,"spec-56698-GAC122N09V1_sp11-090         ",122.5974,11.533486,5237.8,212.3,2.47,0.57,-2.3,0.17,29.8,363.2,3.77
J081026.48+204427.9,"spec-55916-F5591604_sp09-052            ",122.610344,20.741074,4957.5,262.1,2.34,0.52,-2.18,0.25,37.0,-117.72,5.48
J081028.52+160906.7,"spec-55915-F5591504_sp09-028            ",122.618835,16.151869,6250.0,150.0,3.32,0.62,-2.48,0.19,33.8,76.42,6.26
J081036.45+153625.1,"spec-56738-GAC122N14V1_sp15-176         ",122.65188,15.606981,5913.8,245.1,3.27,0.63,-2.1,0.14,34.0,84.95,5.76
J081105.61+133742.1,"spec-55915-F5591504_sp07-071            ",122.77338,13.628348,6000.0,150.0,3.34,0.67,-2.63,0.24,20.9,141.77,11.62
J081149.47+140443.8,"spec-55915-F5591504_sp07-178            ",122.95614,14.078834,6170.8,188.5,3.57,0.5,-2.21,0.17,60.6,64.41,4.13
J081157.43+300115.3,"spec-56978-GAC122N29B1_sp09-110         ",122.98929,30.020906,6194.3,117.1,3.32,0.62,-2.74,0.26,32.5,46.9,5.52
J081209.95+002846.9,"spec-57099-HD080547N020954V01_sp07-070  ",123.041466,0.479694,5485.2,274.5,2.86,0.58,-2.42,0.12,28.5,190.53,6.2
J081217.90+135732.6,"spec-56738-GAC122N14V2_sp08-155         ",123.07459,13.959068,5538.1,260.4,1.57,0.57,-2.42,0.18,146.8,183.78,3.12
J081244.31+264945.2,"spec-56978-GAC122N29B1_sp01-197         ",123.18462,26.829226,6024.1,202.1,3.27,0.55,-2.18,0.12,17.4,114.16,7.77
J081254.68+002649.8,"spec-56597-GAC121N02V1_sp07-099         ",123.22782,0.447167,4901.5,268.0,1.0,0.45,-2.12,0.26,32.7,99.95,6.65
J081308.29+303100.8,"spec-56978-GAC122N29B1_sp09-099         ",123.28456,30.516888,6382.5,155.1,3.82,0.46,-2.55,0.21,37.1,254.48,5.66
J081318.89+473616.2,"spec-56653-HD081205N465629B01_sp15-105  ",123.32869,47.6045,6024.1,202.1,3.36,0.57,-2.02,0.12,27.7,12.67,7.85
J081330.98+080611.6,"spec-57101-HD081645N072221B01_sp15-051  ",123.3791,8.103233,6250.0,150.0,3.24,0.6,-2.63,0.29,27.9,8.85,9.45
J081406.80+222941.3,"spec-56692-GAC121N22B2_sp13-085         ",123.52834,22.49482,6075.7,224.2,2.75,0.53,-2.06,0.12,17.9,252.35,10.27
J081411.72+081558.4,"spec-55892-F9205_sp11-037               ",123.54885,8.266224,6000.0,203.1,3.41,0.54,-2.1,0.12,17.2,-191.16,10.46
J081437.32+205039.1,"spec-56655-GAC121N22M1_sp07-094         ",123.6555,20.844187,5809.5,251.7,3.69,0.48,-2.35,0.13,14.7,37.98,11.58
J081451.16+405546.0,"spec-56295-HD081449N430205B01_sp01-098  ",123.71318,40.929455,6083.8,133.9,3.6,0.56,-2.83,0.29,61.7,162.55,3.06
J081526.56+071836.4,"spec-56670-GAC123N04V1_sp11-028         ",123.86067,7.310113,5959.9,210.0,3.26,0.67,-2.1,0.14,36.7,131.38,3.84
J081526.56+071836.7,"spec-57053-HD081645N072221V01_sp04-155  ",123.86067,7.310185,5959.9,210.0,3.26,0.67,-2.1,0.14,102.7,135.28,3.45
J081545.97+073037.0,"spec-57101-HD081645N072221B01_sp04-196  ",123.94156,7.510271,5683.4,203.7,3.29,0.62,-2.34,0.12,45.8,363.57,5.12
J081553.80+343750.2,"spec-56298-HD082137N335612F01_sp03-101  ",123.974174,34.630596,6224.0,189.6,3.11,0.6,-2.46,0.19,15.6,-48.5,11.19
J081555.43+454340.3,"spec-56653-HD081205N465629B01_sp08-111  ",123.980965,45.72785,5237.8,212.3,3.3,0.5,-2.1,0.16,80.9,-22.99,3.25
J081556.04+270230.0,"spec-56978-GAC122N29B1_sp07-219         ",123.98351,27.04167,5918.6,208.9,3.95,0.45,-2.28,0.17,30.3,111.37,6.63
J081556.35+305156.6,"spec-56978-GAC122N29B1_sp12-192         ",123.98478,30.865723,6361.2,136.5,3.69,0.52,-3.22,0.24,60.0,141.37,3.98
J081628.17-001448.8,"spec-57059-HD082012S005433V01_sp03-205  ",124.11736,-0.246893,6183.4,203.7,3.29,0.62,-2.06,0.12,40.4,248.69,5.09
J081628.80+440340.3,"spec-57066-HD081449N430205M01_sp09-118  ",124.12001,44.061184,5709.9,210.0,3.7,0.55,-2.36,0.17,21.4,14.5,9.33
J081636.00+182058.6,"spec-56980-GAC125N19B1_sp02-130         ",124.15,18.3496,5859.9,213.0,1.31,0.64,-2.29,0.12,132.8,219.61,6.73
J081636.86+455833.5,"spec-56653-HD081205N465629B01_sp08-109  ",124.15357,45.97598,6035.0,223.7,3.4,0.6,-2.07,0.12,27.3,-34.36,6.7
J081645.45+451935.3,"spec-56653-HD081205N465629B01_sp07-106  ",124.18936,45.32646,5676.4,258.6,3.99,0.38,-2.38,0.17,35.0,228.29,5.42
J081653.19+295622.9,"spec-56978-GAC122N29B1_sp13-164         ",124.22164,29.939707,6225.9,202.1,3.01,0.68,-2.32,0.13,25.8,113.79,8.12
J081653.64+544909.2,"spec-56740-GAC120N54B1_sp13-036         ",124.22348,54.81922,6079.2,188.5,3.41,0.54,-2.02,0.12,43.7,222.44,4.33
J081700.58+482947.4,"spec-56653-HD081205N465629B01_sp12-147  ",124.2524,48.496494,6313.9,186.2,3.38,0.62,-2.56,0.21,33.2,74.46,5.72
J081708.55+420924.4,"spec-56295-HD081449N430205B01_sp08-162  ",124.285645,42.156773,6209.9,210.0,3.35,0.6,-2.15,0.12,30.7,3.62,4.93
J081717.34-010522.4,"spec-56622-GAC126S01V1_sp14-190         ",124.32226,-1.089557,6132.3,215.5,3.24,0.67,-2.09,0.17,190.8,230.06,2.39
J081724.16+471137.3,"spec-56653-HD081205N465629B01_sp09-017  ",124.35066,47.1937,5862.9,275.3,3.16,0.69,-2.24,0.14,38.6,52.74,4.88
J081730.22+463439.6,"spec-56653-HD081205N465629B01_sp08-249  ",124.3759,46.577667,6141.5,195.1,3.56,0.54,-2.13,0.17,33.5,-181.17,6.0
J081742.60+135540.2,"spec-56738-GAC122N14V1_sp06-193         ",124.42752,13.927838,6224.0,189.6,3.4,0.5,-2.6,0.25,29.4,-39.42,6.8
J081809.09+205100.6,"spec-56980-GAC125N19B1_sp15-064         ",124.53786,20.850157,6425.0,155.2,3.48,0.55,-2.66,0.24,46.2,-121.62,3.71
J081824.36+413650.0,"spec-57066-HD081449N430205M01_sp08-206  ",124.60149,41.61389,5933.4,203.7,3.57,0.5,-2.31,0.17,22.0,219.22,9.19
J081836.52-055121.6,"spec-56649-GAC126S04V1_sp02-186         ",124.65215,-5.855994,5898.7,250.9,4.16,0.39,-2.26,0.17,38.8,393.07,3.66
J081942.14+425040.5,"spec-56295-HD081449N430205B01_sp08-050  ",124.92559,42.84458,4954.8,244.5,2.42,0.41,-2.78,0.19,26.6,27.03,4.38
J081946.60+110543.1,"spec-57106-HD082802N114223B01_sp10-117  ",124.94416,11.095292,5639.2,294.7,3.72,0.44,-2.04,0.14,76.1,72.63,3.33
J081947.87+485535.4,"spec-56653-HD081205N465629B01_sp12-042  ",124.94947,48.9265,5918.6,208.9,3.73,0.52,-2.08,0.17,53.1,-230.91,4.78
J081953.24+405346.9,"spec-56304-HD083110N401329F01_sp14-104  ",124.97182,40.896347,5959.9,210.0,3.41,0.54,-2.03,0.12,29.2,-272.41,5.06
J082009.79+214901.4,"spec-56980-GAC125N19B1_sp11-003         ",125.0408,21.817045,6183.4,203.7,3.29,0.62,-2.06,0.12,37.6,14.35,5.61
J082020.31+340937.8,"spec-56298-HD082137N335612F01_sp04-016  ",125.08464,34.160492,6098.4,229.9,3.53,0.56,-2.07,0.12,20.1,86.24,7.84
J082030.26+121707.3,"spec-57106-HD082802N114223B01_sp14-202  ",125.12608,12.285348,6250.0,150.0,3.19,0.62,-2.2,0.17,20.3,132.01,9.85
J082037.08+452548.1,"spec-56653-HD081205N465629B01_sp07-053  ",125.15451,45.43002,5474.0,189.6,2.92,0.5,-2.65,0.21,60.5,109.7,3.71
J082042.77+190049.4,"spec-56980-GAC125N19B1_sp05-041         ",125.17821,19.013712,4970.5,254.5,1.18,0.47,-2.8,0.17,32.5,-44.21,4.01
J082043.19+254349.3,"spec-56397-GAC125N25V1_sp04-036         ",125.17995,25.730371,5238.0,193.5,2.19,0.5,-2.36,0.17,24.5,218.36,7.04
J082054.09-024719.3,"spec-56649-GAC126S04V1_sp16-136         ",125.22539,-2.788698,5336.2,245.1,2.92,0.5,-2.14,0.27,46.5,245.74,3.59
J082111.68-050102.0,"spec-56649-GAC126S04V1_sp03-031         ",125.29866,-5.017227,5262.2,212.3,3.03,0.51,-2.12,0.14,48.7,107.0,4.23
J082127.85+514217.5,"spec-56301-HD081044N520834M01_sp06-095  ",125.366035,51.70486,6079.2,188.5,3.49,0.54,-2.34,0.14,16.5,45.08,8.33
J082132.99+074305.5,"spec-57101-HD081645N072221B01_sp09-134  ",125.38745,7.718204,6040.1,210.0,3.79,0.47,-2.2,0.12,18.7,-147.65,8.99
J082147.69+452402.4,"spec-56653-HD081205N465629B01_sp07-096  ",125.44873,45.400654,6250.0,150.0,3.43,0.63,-2.76,0.24,29.0,-194.01,6.91
J082150.34+000254.5,"spec-57059-HD082012S005433V01_sp09-104  ",125.459755,0.048474,6250.0,150.0,3.26,0.63,-2.8,0.26,33.5,-28.98,3.49
J082150.38+000253.7,"spec-56622-GAC126S01V2_sp15-097         ",125.4599,0.048254,6382.5,155.1,3.54,0.55,-2.63,0.23,44.6,-126.07,4.2
J082203.06+483303.8,"spec-56653-HD081205N465629B01_sp12-111  ",125.512764,48.551064,5909.3,229.3,3.28,0.66,-2.16,0.17,31.1,37.35,7.01
