,passband,1,Tnorm,A0,feh,Tnorm^2,A0^2,feh^2,Tnorm A0,Tnorm feh,A0 feh,Tnorm^3,A0^3,feh^3,Tnorm^2 A0,Tnorm A0^2,Tnorm^2 feh,Tnorm feh^2,A0^2 feh,A0 feh^2,Tnorm A0 feh,mean_residual,std_residual
0,GAIA_GAIA3.G,0.2553751093623219,0.952549136153517,0.0113311936957633,-0.0311652333829063,-0.4074862826744055,0.0017127357564321,-0.0064951182583499,-0.0601134607038416,0.0194777016285597,0.002384846649159,0.0656720138767639,4.0609371974712754e-05,-0.0004157272824116,0.0158055346809706,-0.0001365976962488,-0.0009270613616029,0.0025539755406876,-9.74840812894103e-05,0.0001881501502367,-0.0007442606853387,7.220458948203097e-12,0.0021960456164456
1,GAIA_GAIA3.Gbp,0.6764652934977793,0.6622436501514556,0.0062180102699931,0.0106636334051377,-0.2720430698164513,0.0011131155580783,-0.0027080460437291,-0.038142338947285,-0.0474654124731102,0.0019322126779066,0.0393371235892491,3.606574754182739e-05,-0.0002468108329129,0.0112931576511883,-0.0003668995250731,0.0228890119156164,-0.0002634287909933,-3.986077323662378e-05,0.0001475109267864,-0.000634151134003,-1.3278935961395854e-12,0.0018534925170547
2,GAIA_GAIA3.Grp,0.4619696354343022,0.3390894502990957,-0.0061299281018905,-0.0214475602084254,-0.1963005219391664,9.390112969398512e-05,-0.00208716082592,-0.0012977684024868,0.0305474320129314,7.278199268156982e-05,0.0395066558664906,7.163161216183767e-06,-7.855755059349434e-05,0.000424392311385,-6.915335478185902e-05,-0.0100401518852863,0.0014549967014866,-3.660972978103416e-07,4.7680040128339485e-06,-4.7826898681879726e-05,-9.736861566170131e-09,0.001217315413034
3,CaHK_Pristine,1.5524127718661496,0.0090730465739154,-7.138469591983247e-05,-0.0006793675810643,-0.0022350409379686,5.851959386727004e-09,0.0001043114815334,3.162389114517444e-05,0.0003955647411318,-3.2671040226001893e-06,1.256172822805666e-05,1.2322622278066751e-08,1.0208646197466025e-05,-8.255176523386572e-06,-4.083350137773075e-08,-6.043819036167891e-05,-6.495868044351436e-05,-3.2053873508336974e-09,-2.2000501244615432e-08,1.4664067531881608e-06,1.6962254122346175e-10,9.938290903350082e-05
0,A0AV,1.0985043537443482,-0.28322611667253433,0.004183368928387684,0.007557445532619047,0.16371234974516702,2.736541687302331e-05,0.0002578161596509775,-0.0001747771720054497,-0.007118934136640859,-6.906842870070259e-05,-0.03276545657622098,-2.5035139393610328e-08,1.3084152674034982e-05,-7.829758876533233e-05,1.0936320199314747e-05,0.0016149177617023525,-6.616833395636035e-07,-1.7351493579883988e-06,-1.8356988191599073e-07,5.508580999401823e-05,3.9950741842328543e-10,0.0008013096921492802
